corp_code,recddate,filename'
105088,2013-02-25 00:00:00.000,Thomas_Cook_(India)_Ltd_140213.pdf                '
555934,2013-02-26 00:00:00.000,jindal stainless  26022013.pdf                    '
104025,2013-02-26 00:00:00.000,raymond  26022013.pdf                             '
101108,2013-02-26 00:00:00.000,dcm shriram cons 26022013.pdf                     '
105215,2013-02-13 00:00:00.000,TVS_Motor_Company_Ltd_130213.pdf                  '
555967,2013-01-29 00:00:00.000,Century_Plyboards_(India)_Ltd_290113.pdf          '
101857,2013-03-11 00:00:00.000,Havells_India_Ltd_190213.pdf                      '
109287,2013-03-12 00:00:00.000,Bank_of_India_060213.pdf                          '
556066,2013-03-20 00:00:00.000,central bank of india march 2013.pdf              '
104856,2013-03-23 00:00:00.000,Sun_Pharmaceutical_Industries_Ltd_030113.pdf      '
105200,2013-03-23 00:00:00.000,Tube_Investments_of_India_Ltd_190213.pdf          '
106553,2013-05-04 00:00:00.000,Bajaj_Finance_Ltd_040413.pdf                      '
557694,2013-07-20 00:00:00.000,Indiabulls Housing Finance_(Scheme).pdf           '
105417,2013-08-22 00:00:00.000,Tata_Communications_Ltd_300713.pdf                '
105200,2013-08-12 00:00:00.000,Tube_Investments_of_India_Ltd_120813.pdf          '
103381,2013-07-16 00:00:00.000,Piramal Enterprises_16.07.13.pdf                  '
102026,2013-09-02 00:00:00.000,zensar technologies .pdf                          '
100526,2013-08-09 00:00:00.000,Bayer_CropScience_Ltd_090813.pdf                  '
555876,2013-09-13 00:00:00.000,Bharti_Airtel_Ltd_280313.pdf                      '
101347,1996-04-19 00:00:00.000,Elgi Equipment- Rights 1996 -BL 19.4.96.pdf'
556154,2014-03-20 00:00:00.000,GMR_Infrastructure_Ltd_EGM UPDATE 200314.pdf'
102683,2014-03-20 00:00:00.000,KSB_Pumps_Ltd_AGM 210314.pdf'
106553,2014-03-24 00:00:00.000,Bajaj_Finance_Ltd_240314.pdf'
102711,2014-03-21 00:00:00.000,Trent_Ltd_investment 210314.pdf'
103671,2014-03-21 00:00:00.000,Pfizer_Ltd_merger 210314.pdf'
105628,2014-03-20 00:00:00.000,Zee_Entertainment_Enterprises_Ltd_200314.pdf'
555803,2014-03-18 00:00:00.000,KPIT_Technologies_Ltd_EGM PREFERENTIAL ISSUE 180314.pdf'
101347,1994-07-18 00:00:00.000,Elgi Equipments-EGM Notice 1994.pdf'
556117,2013-03-20 00:00:00.000,mahindra finance 6.11.12.pdf                      '
109560,2013-09-16 00:00:00.000,Jindal_Steel_&_Power_Ltd_buback060913.pdf         '
105628,2013-09-17 00:00:00.000,Zee_Entertainment_Ente EGM  160913.pdf            '
104860,2013-09-24 00:00:00.000,sundaram engg. products serv. .pdf                '
101108,2014-03-07 00:00:00.000,DCM_Shriram_Consolidated_Ltd1_BUYBACK 240214.pdf'
104156,2014-03-07 00:00:00.000,Ruchi_Soya_Industries_Ltd_240214.pdf'
556684,2013-10-18 00:00:00.000,Godrej_Properties_Ltd2_071013.pdf                 '
101703,2013-10-24 00:00:00.000,SaintGobain-Value[1].pdf                          '
101716,2013-10-28 00:00:00.000,Ambuja_Cements_Ltd_191013.pdf                     '
556615,2013-10-29 00:00:00.000,NHPC_Ltd_buyback 281013.pdf                       '
104860,2013-03-25 00:00:00.000,Sundaram_Clayton_Ltd_250213.pdf                   '
556991,2014-01-02 00:00:00.000,Punjab_&_Sind_Bank_EGM 231213.pdf                 '
555956,2014-01-02 00:00:00.000,UltraTech_Cement_Ltd_EGM 201213.pdf               '
102284,2014-02-28 00:00:00.000,ITC_Ltd_scheme of arrangement postal ballot 140214.pdf'
100329,2014-03-04 00:00:00.000,Asahi-Scheme of Amalgamation-29.3.03.pdf'
102613,2014-03-05 00:00:00.000,Kirloskar Brothers_04-09-1996_Egm .pdf'
555896,2014-01-03 00:00:00.000,Trident_Ltd_Scheme 301213.pdf                     '
102738,2014-01-03 00:00:00.000,Larsen_&_Toubro_Ltd1_Scheme 261213.pdf            '
555882,2014-01-07 00:00:00.000,Punjab_National_Bank_EGM 070114.pdf               '
104341,2014-01-08 00:00:00.000,Sesa_Sterlite_Ltd_231213.pdf                      '
107362,2014-01-08 00:00:00.000,Genus_Power_Infrastructures_Ltd_080114.pdf        '
555658,2013-12-14 00:00:00.000,Power_Grid_Corporation_of_India_Ltd1_261113.pdf   '
105114,2013-12-19 00:00:00.000,tata steel ltd 19-12-2013.pdf                     '
105133,2013-12-19 00:00:00.000,Torrent_Pharmaceuticals_ acquisition 131213.pdf   '
100019,2010-07-08 00:00:00.000,abb ltd open offer 08-07-2010.pdf                 '
102401,2014-01-02 00:00:00.000,JK_Tyre_&_Industries_Ltd_EGM 171213.pdf           '
101618,2014-01-02 00:00:00.000,GlaxoSmithKline_Pharma_Open Offer 141213.pdf      '
101022,2014-01-02 00:00:00.000,Coromandel_International_Ltd_merger 161213.pdf    '
101716,2014-01-04 00:00:00.000,Ambuja_Cements_Ltd_EGM 241213.pdf                 '
101942,2014-07-30 00:00:00.000,Hindustan_Unilever_Ltd2_300614.pdf'
555931,2014-07-30 00:00:00.000,Navin_Fluorine_International_Ltd_300714.pdf'
100860,2014-07-30 00:00:00.000,Navin_Fluorine_International_Ltd_300714.pdf'
104341,2014-07-31 00:00:00.000,Sesa_Sterlite_Ltd_110714.pdf'
556209,2014-08-01 00:00:00.000,Redington_(India)_Ltd_310714.pdf'
100729,2014-08-01 00:00:00.000,Abbott_India_Ltd_010814.pdf'
105048,2014-08-01 00:00:00.000,Tata_Motors_Ltd1_010814.pdf'
